city,city_ascii,lat,lng,country
Bayport,Bayport,40.7461,-73.0546,United States
Fair Lakes,Fair Lakes,38.8530,-77.3885,United States
Filottrano,Filottrano,43.4333,13.3500,Italy
Kui Buri,Kui Buri,12.0702,99.8667,Thailand
Florida,Florida,-36.8167,-72.6667,Chile
Weilmünster,Weilmunster,50.4333,8.3667,Germany
Barhagarh,Barhagarh,19.6450,84.4079,India
Asolo,Asolo,45.8000,11.9167,Italy
Penaballi,Penaballi,17.2103,80.6978,India
Kilānkundal,Kilankundal,10.7543,77.7269,India
Sępólno Krajeńskie,Sepolno Krajenskie,53.4500,17.5300,Poland
Serafimovich,Serafimovich,49.5833,42.7333,Russia
Redlands,Redlands,39.0886,-108.6582,United States
Dashouping,Dashouping,23.6425,111.6978,China
Eceabat,Eceabat,40.1839,26.3564,Turkey
Santa Isabel do Ivaí,Santa Isabel do Ivai,-22.9667,-53.2333,Brazil
Ingenbohl,Ingenbohl,46.9833,8.6000,Switzerland
Brownfield,Brownfield,33.1757,-102.2730,United States
Argelia,Argelia,5.7425,-75.1464,Colombia
Dayr as Sanqūrīyah,Dayr as Sanquriyah,28.4868,30.6648,Egypt
Hernando,Hernando,28.9451,-82.3781,United States
Polička,Policka,49.7150,16.2675,Czechia
Dumri,Dumri,25.8605,84.5512,India
Periyapōdu,Periyapodu,10.6099,76.8786,India
Kodikkulam,Kodikkulam,9.9811,78.2121,India
Santa Cruz Atizapán,Santa Cruz Atizapan,19.1756,-99.4886,Mexico
Osicala,Osicala,13.8000,-88.1500,El Salvador
Corman Park No. 344,Corman Park No. 344,52.2291,-106.8002,Canada
Virgínia,Virginia,-22.3328,-45.0919,Brazil
Felling,Felling,54.9500,-1.5640,United Kingdom
Great Cornard,Great Cornard,52.0245,0.7497,United Kingdom
Segarai,Segarai,10.7300,79.5111,India
Litchfield Beach,Litchfield Beach,33.4773,-79.1181,United States
Clinton,Clinton,38.3716,-93.7679,United States
Almagro,Almagro,38.8878,-3.7122,Spain
